"Greenock","Greenock"
"Glasgow","Glasgow"
"Glasgow","Madrid"
"Preston","Preston"
"Birmingham","Birmingham"
"Birmingham","Tolpaki"
"Southampton","Southampton"
"Southampton","Sebeş"
"Le","Le"
"Le","Edinburgh"
"Le","Newcastle"
"Le","Balkhash"
"Le","Fishguard"
"Le","Swansea"
"Le","Burgas"
"Havre","Havre"
"Havre","Ufa"
"Havre","Kurgan"
"Havre","Besançon"
"Paris","Paris"
"Paris","Prešov"
"Paris","Besançon"
"Paris","Tekirdağ"
"Orléans","Orléans"
"Orléans","Trenčín"
"Orléans","Besançon"
"Bordeaux","Bordeaux"
"Bordeaux","Dole"
"San","San"
"San","Calais"
"San","Narbonne"
"San","Beaune"
"Sebastián","Sebastián"
"Sebastián","Hârşova"
"Sebastián","Uspenovka"
"Burgos","Castellón"
"Madrid","Burgos"
"Seville","Madrid"
"Algeciras","Seville"
"Inverness","Algeciras"
"Inverness","Spielfeld"
"Perth","Inverness"
"Perth","Beineu"
"Perth","Shetpe"
"Perth","Chambéry"
"Edinburgh","Perth"
"Newcastle","Astana"
"Newcastle","Izmail"
"London","London"
"London","Prešov"
"London","Košice"
"London","Florina"
"London","Uchkuduk"
"Folkestone","Folkestone"
"Folkestone","Gaudan"
"Dover","Dover"
"Calais","Calais"
"Lyon","Lyon"
"Lyon","Besançon"
"Orange","Orange"
"Narbonne","Narbonne"
"Girona","Girona"
"Barcelona","Barcelona"
"Tarragona","Tarragona"
"Castellón","Castellón"
"de","Neubrandenburg"
"la","de"
"la","Bekdash"
"Plana","la"
"Plana","Brescia"
"Valencia","Plana"
"Valencia","Susa"
"Valencia","Berettyóújfalu"
"Valencia","Dunkirk"
"Alicante","Valencia"
"Murcia","Alicante"
"Murcia","Burubaytal"
"Murcia","Almaty"
"Murcia","Susa"
"Murcia","Serres"
"Murcia","Halmeu"
"Murcia","Sibiu"
"Almería","Murcia"
"Málaga","Almería"
"Hook","Málaga"
"Hook","Halmeu"
"Hook","Sibiu"
"Hook","Piteşti"
"of","Hook"
"of","Liège"
"of","Bastogne"
"of","Balkhash"
"of","Swansea"
"of","Bridgend"
"Holland","of"
"Rotterdam","Holland"
"Rotterdam","Tulcea"
"Eindhoven","Rotterdam"
"Eindhoven","Eupen"
"Eindhoven","Burgas"
"Eindhoven","Wels"
"Maastricht","Eindhoven"
"Maastricht","Bastia"
"Maastricht","Aachen"
"Maastricht","Malko"
"Liège","Maastricht"
"Liège","Porto-Vecchio"
"Bastogne","Liège"
"Bastogne","Eupen"
"Bastogne","Turin"
"Arlon","Bastogne"
"Arlon","Turin"
"Luxembourg","Arlon"
"Luxembourg","Košice"
"Luxembourg","Denizli"
"Metz","Luxembourg"
"Saint-Avold","Metz"
"Saint-Avold","Turin"
"Strasbourg","Saint-Avold"
"Strasbourg","Nemecké"
"Mulhouse","Strasbourg"
"Basel","Mulhouse"
"Basel","Nemecké"
"Basel","Uzhhorod"
"Basel","Dzhankoy"
"Olten","Frankfurt"
"Olten","Uzhhorod"
"Olten","Belfort"
"Bern","Basel"
"Lausanne","Olten"
"Geneva","Bern"
"Mont","Lausanne"
"Mont","Seljord"
"Blanc","Geneva"
"Blanc","Gyzylarbat"
"Blanc","Balkhash"
"Blanc","Nordkapp"
"Aosta","Mont"
"Aosta","Türkmenbaşy"
"Aosta","Gyzylarbat"
"Aosta","Lille"
"Ivrea","Blanc"
"Vercelli","Aosta"
"Alessandria","Ivrea"
"Alessandria","Mazara"
"Alessandria","Berettyóújfalu"
"Genoa","Vercelli"
"Genoa","Bishkek"
"Genoa","Naryn"
"Genoa","Tortona"
"Genoa","Postojna"
"Bastia","Alessandria"
"Bastia","Pass"
"Bastia","Cardiff"
"Bastia","del"
"Bastia","Zalău"
"Porto-Vecchio","Genoa"
"Bonifacio","Bastia"
"Bonifacio","Vallo"
"Bonifacio","Tulcea"
